name,tel,postal_code,address
東立出版社有限公司,(02)25587277,10353,臺北市大同區承德路二段81號10樓
城邦文化事業股份有限公司 尖端出版,(02)25007600*1066,10483,臺北市中山區民生東路二段141號10樓
臺灣角川股份有限公司,(02)27472433*102,10560,臺北市松山區光復北路11巷46號5樓
五南圖書出版股份有限公司,(02)27055066,10670,臺北市大安區和平東路二段339號4樓
諾森貝登有限公司,(02)27110200,10696,臺北市大安區忠孝東路4段170巷6弄7-1號5樓
碁峰資訊股份有限公司,(02)27882408*856,11560,臺北市南港區三重路66號7樓之6
千華數位文化股份有限公司,(02)22289070,23546,新北市中和區中山路三段136巷10弄17號
志光教育文化出版社,(06)2650818,10047,臺北市中正區開封街一段12號
說頻文化有限公司,(04)23366995,41460,臺中市烏日區五光路607巷20號
時報文化出版企業股份有限公司,(02)23087111,10803,臺北市萬華區和平西路三段240號3樓
花木蘭文化出版社,(02)29231455,23574,新北市中和區中安街72號13樓
臺灣東販股份有限公司,(02)25456277,10550,臺北市松山區南京東路四段130號2樓之1
九星文化出版社,(02)23891185,10041,臺北市中正區忠孝西路一段50號21樓之9
全華圖書股份有限公司,(02)22625666,23671,新北市土城區忠義路21號
長鴻出版社股份有限公司,(06)2648649*703,70044,臺南市青年路232巷1號
台科大圖書股份有限公司,(02)29085945,24257,新北市新莊區中正路649號7樓
商周出版,(02)25007008,10483,臺北市中山區民生東路二段141號9樓
遠見天下文化出版股份有限公司,(02)25173688,10455,臺北市中山區松江路93巷1號2樓
銘顯文化事業有限公司,(04)25687011*50,42877,臺中市大雅區永和路111-4號
三采文化股份有限公司,(02)87971234,11466,臺北市內湖區瑞光路513巷33號8樓
上奇資訊股份有限公司,(02)25627969,10457,臺北市中山區南京東路2段98號8樓之1
麗文文化事業股份有限公司,(07)2236780,80252,高雄市苓雅區五福一路57號2樓之2
聯經出版事業股份有限公司,(02)87876242,11005,臺北市信義區基隆路一段180號4樓
佳魁資訊股份有限公司,(02)25627756*2831,10457,臺北市中山區南京東路2段98號8樓之1
遠流出版事業股份有限公司,(02)23926899,10084,臺北市中正區南昌路2段81號6樓
普天出版社,(02)26921935,22180,新北市汐止區康寧街169巷21號9樓
新保成出版事業有限公司,(02)23880103,10047,臺北市中正區開封街1段18號
世一文化事業股份有限公司,(06)2618468,70248,臺南市南區新樂路46號
元照出版有限公司,(02)23756688,10047,臺北市中正區館前路18號5樓
木馬文化事業股份有限公司,(02)22181417*156,23141,新北市新店區民權路108-2號9樓
白象文化事業有限公司,(04)22652939*702,40253,臺中市南區美村路2段392號
新文京開發出版股份有限公司,(02)22448188,23557,新北市中和區中山路二段362號9樓
華格那企業有限公司,(04)22857299,40360,臺中市西區公益路130號7樓
經史子集出版社,(02)89923333,24243,新北市新莊區中正路300巷10弄2號5樓
新學林出版股份有限公司,(02)27001808,10670,臺北市大安區和平東路2段339號9樓
高雄復文圖書出版社,(07)2265267,80252,高雄市苓雅區五福一路57號2樓之2
晨星出版有限公司,(04)23595820*140,40767,臺中市工業區30路1號
英屬維京群島商高寶國際有限公司臺灣分公司,(02)27992788*199,11493,臺北市內湖區洲子街88號3樓
寂天文化事業股份有限公司,(02)23659739,10673,臺北市大安區新生南路三段88號4樓之5
鼎茂圖書出版股份有限公司,(02)23814314,10043,臺北市中正區博愛路60號4樓
藍襪子出版社,(04)7747612,50649,彰化縣福興鄉員鹿路二段180號
